speciescode,speciename
pygbat1,Batis perkeo
yehbrf1,Atlapetes flaviceps
subfly2,Muscicapa segregata
rubhon2,Conopophila albogularis
vilbrf1,Atlapetes terborghi
reiwoo1,Campethera scriptoricauda
shtpar1,Paradigalla brevicauda
retwhe2,Oenanthe chrysopygia
lotfis1,Lanius cabanisi
somhum1,Eupetomena cirrochloris
whtjac1,Brachygalba albogularis
craplo1,Dromas ardeola
egyplo1,Pluvianus aegyptius
silver3,Zosterops lateralis
bltpar1,Suthora nipalensis
yelwat1,Anthochaera paradoxa
yeggro1,Caryothraustes canadensis
sibtan2,Ramphocelus carbo
yucwoo,Melanerpes pygmaeus
timcud1,Macropygia magna
putwoo1,Philodice mitchellii
samfly1,Myiagra albiventris
chbflo1,Diglossa gloriosissima
rusbun,Emberiza rustica
whtswa2,Hirundo megaensis
arcwar3,Phylloscopus xanthodryas
lobpar2,Rhizothera dulitensis
psfdov1,Ptilinopus perlatus
buswre1,Xenicus longipes
reghon1,Anthochaera phrygia
wincis2,Cisticola galactotes
afrswi1,Apus barbatus
golbul4,Hypsipetes mysticalis
arfhon1,Melipotes gymnops
rerpar1,Psephotus haematonotus
saweye1,Zosterops samoensis
rebmac2,Orthopsittaca manilatus
grhori1,Oriolus chlorocephalus
luzbut1,Turnix worcesteri
thlant3,Myrmothera subcanescens
subbul1,Iole palawanensis
ncbeat1,Merops nubicus
caicha1,Fringilla canariensis
weswhi1,Psophodes nigrogularis
pieher2,Egretta picata
molhao2,Ninox forbesi
jetman2,Chloropipo unicolor
dohbus1,Telophorus dohertyi
reubul1,Hypsipetes borbonicus
pirros1,Carpodacus waltoni
whtshr1,Lanioturdus torquatus
gycher1,Phaethornis griseogularis
laywar2,Curruca layardi
wesant1,Thamnophilus atrinucha
brojac2,Brachygalba lugubris
lesyel,Tringa flavipes
whtmon1,Symposiachrus leucurus
merjuf1,Cyornis kadayangensis
blnmou1,Urocolius macrourus
wtathr1,Neocossyphus poensis
marowl2,Asio capensis
brbsol1,Myadestes occidentalis
scrtan1,Stilpnia vitriolina
fltwar1,Oreothlypis gutturalis
asifab2,Irena tweeddalii
schasi1,Philepitta schlegeli
snoshe2,Chionis albus
piwswa1,Hirundo leucosoma
rtlhum,Amazilia tzacatl
grelic1,Coccyzus merlini
mexjay4,Aphelocoma wollweberi
norpib1,Turdoides hypoleuca
refcis1,Cisticola erythrops
corplo,Charadrius hiaticula
grhcha1,Ortalis cinereiceps
greros1,Carpodacus rubicilla
cbbwar2,Locustella castanea
coatit2,Periparus ater
goltan1,Tangara arthus
dusmyz3,Myzomela rubrotincta
logshr,Lanius ludovicianus
okirai1,Gallirallus okinawae
yebwhe1,Zosterops chloris
grygos1,Tachyspiza novaehollandiae
whcswi2,Cypseloides lemosi
bawswa1,Pygochelidon cyanoleuca
liteag3,Hieraaetus weiskei
rekflo1,Dicaeum haematostictum
gybtac1,Polystictus superciliaris
lobblf1,Cyornis caerulatus
eurwry,Jynx torquilla
olbwoo1,Xiphorhynchus triangularis
blucus1,Cyanograucalus azureus
yebfin1,Melanodera xanthogramma
jaweye2,Zosterops flavus
neifri1,Philemon eichhorni
boefly1,Myopornis boehmi
grgmac,Ara ambiguus
olbsun8,Cinnyris teysmanni
brhthr1,Turdus chrysolaus
prawar,Setophaga discolor
incwre1,Pheugopedius eisenmanni
blbpar4,Triclaria malachitacea
grnwar1,Phylloscopus nitidus
linsee1,Sporophila lineola
wbswea1,Plocepasser mahali
bklbab1,Turdoides sharpei
hawhaw,Buteo solitarius
ructan1,Tachyphonus coronatus
flowhe1,Heleia crassirostris
rufhum,Selasphorus rufus
waterc1,Gallicrex cinerea
gcbwar1,Nesillas brevicaudata
gotbar3,Psilopogon auricularis
bksbrf1,Atlapetes melanopsis
ambwhe1,Zosterops kuehni
lesvio1,Colibri cyanotus
capwhe2,Zosterops virens
malspi1,Zoonavena grandidieri
gybpar6,Arborophila sumatrana
mtkbus1,Chlorophoneus kupeensis
moucac1,Cacicus chrysonotus
emetan1,Tangara florida
mascan1,Asthenes flammulata
jercou1,Rhinoptilus bitorquatus
purswa4,Porphyrio indicus
oraori1,Icterus auratus
bcatan1,Driophlox atrimaxillaris
horscr1,Anhima cornuta
siryst3,Sirystes albogriseus
guityr1,Zimmerius acer
dubtan1,Chlorospingus semifuscus
minowl1,Tyto inexspectata
pipcro1,Corvus typicus
spemou2,Colius striatus
spgpig1,Caloenas maculata
sibrob,Larvivora cyane
pawsta1,Onychognathus nabouroup
liskiw1,Apteryx owenii
smapra1,Glareola lactea
crccou1,Cursorius cursor
coptho2,Discosura letitiae
giawea1,Ploceus grandis
belgul,Larus belcheri
whwter,Chlidonias leucopterus
relser1,Cariama cristata
aswpig1,Columba pulchricollis
pumtan2,Iridosornis porphyrocephalus
madpet1,Pelecanoides magellani
blwlau1,Trochalopteron squamatum
rubtap1,Liosceles thoracicus
whsant4,Dysithamnus leucostictus
bkbthr4,Turdus murinus
plbeme1,Chrysuronia leucogaster
galah,Eolophus roseicapilla
vosbop1,Lophorina superba
blapar2,Melanoperdix niger
yeblor1,Lorius chlorocercus
marmon2,Pomarea mendozae
canfly2,Devioeca papuana
rebfir1,Neochmia temporalis
gremel1,Megalampitta gigantea
mauala,Paroreomyza montana
blwori1,Oriolus nigripennis
potpal1,Berlepschia rikeri
pomgrp1,Treron axillaris
matpar2,Pyrrhura melanura
fimbow1,Sericulus bakeri
moupel1,Peltops montanus
tagbut1,Cracticus louisiadensis
wbrcha2,Cossypha heuglini
dubfly2,Bradornis comitatus
duftan1,Mitrospingus cassinii
asbowl1,Glaucidium cuculoides
sinwre1,Thryophilus sinaloa
blcswa2,Pygochelidon melanoleuca
scbill1,Illadopsis albipectus
reepuf1,Dryoscopus senegalensis
gobger1,Gerygone sulphurea
andgul1,Chroicocephalus serranus
bbbeat1,Nyctyornis athertoni
rehbar1,Eubucco bourcierii
cavswa,Petrochelidon fulva
ammrot1,Monticola erythronotus
iscdov1,Streptopelia bitorquata
whejac1,Galbalcyrhynchus leucotis
ibechi2,Phylloscopus ibericus
ccbeat1,Merops oreobates
sampar1,Pyrrhura viridicata
todant1,Herpsilochmus stictocephalus
ctgsta1,Hylopsar cupreocauda
thlsch8,Schiffornis aenea
spwbab1,Elachura formosa
yebjac1,Galbula albirostris
smbtyr1,Myiotheretes pernix
blpfly1,Terpsiphone cyanescens
labrew1,Acrocephalus orinus
scbpar1,Tropicoperdix chloropus
relkit,Rissa brevirostris
brbflo1,Pachyglossa everetti
pllwar1,Phylloscopus tenellipes
twbwar1,Myiothlypis bivittata
banpit3,Hydrornis irena
lebfly3,Microeca flavigaster
lisfly1,Ficedula basilanica
comtai1,Orthotomus sutorius
javplo1,Anarhynchus javanicus
scalau1,Trochalopteron subunicolor
yebbar5,Trachylaemus purpuratus
shefra3,Scleroptila whytei
labcro15,Corvus philippinus
mowbab1,Gypsophila crassa
masswi1,Aerodramus francicus
madpra1,Glareola ocularis
guicuc1,Guira guira
tabtan1,Chlorospingus tacarcunae
salpri2,Pachyptila salvini
mastro1,Trogon personatus
phidrc1,Surniculus velutinus
ensowl1,Otus enganensis
sunfro1,Batrachostomus cornutus
whtfra2,Campocolinus albogularis
gchwar,Setophaga chrysoparia
bluswa1,Hirundo atrocaerulea
blffly1,Eumyias hoevelli
barwaf1,Poospiza nigrorufa
palswi1,Aerodramus pelewensis
blkmag2,Platysmurus aterrimus
blbfir1,Lagonosticta rara
chtspi1,Synallaxis cherriei
phepig1,Otidiphaps nobilis
crecur2,Mitu tomentosum
sheowl,Asio flammeus
flafly1,Ramphotrigon flammulatum
sangra1,Amytornis oweni
yekcur1,Crax daubentoni
sabred1,Myioborus cardonai
adewar1,Setophaga adelaidae
davlew1,Phylloscopus intensior
stwbab3,Kenopia striata
sactan1,Tangara xanthocephala
grepew,Contopus pertinax
eclpar1,Eclectus roratus
yetscr1,Neosericornis citreogularis
shidro1,Dicrurus atripennis
blbpuf3,Eriocnemis nigrivestis
demcra1,Anthropoides virgo
rbsbab1,Pomatorhinus ochraceiceps
bufsee1,Sporophila frontalis
blwwar1,Acrocephalus concinens
boupar2,Neopsephotus bourkii
sagthr,Oreoscoptes montanus
bltmon1,Symposiachrus verticalis
gyrswa1,Pseudhirundo griseopyga
migtyr1,Phylloscartes roquettei
bubhel1,Oxypogon cyanolaemus
wilpha,Phalaropus tricolor
balswi1,Aerodramus nuditarsus
fatwar,Basileuterus lachrymosus
slftyr1,Zimmerius gracilipes
blabis1,Euplectes gierowii
rubfan1,Rhipidura rufidorsa
whtrob2,Myiomela leucura
steeid,Polysticta stelleri
soirew1,Acrocephalus musae
larela1,Elaenia spectabilis
molist1,Turdus deningeri
rumwar1,Origma murina
vichum1,Goldmania violiceps
hoober2,Carpornis cucullata
eurnut2,Sitta europaea
tugjay1,Podoces panderi
gycful3,Alcippe davidi
rebscy1,Campylorhamphus trochilirostris
litpen1,Eudyptula minor
chowch1,Orthonyx spaldingii
roltyr3,Acrochordopus burmeisteri
nezsca1,Aythya novaeseelandiae
rebmyz1,Myzomela malaitae
neusta1,Onychognathus neumanni
cowfin1,Poospiza hispaniolensis
cregui2,Guttera verreauxi
palhon1,Indicator meliphilus
asfblu1,Irena puella
hemhor1,Lophoceros hemprichii
wecsun1,Aethopyga vigorsii
gogwoo1,Piculus chrysochloros
chwfog1,Dendroma erythroptera
cangro1,Clibanornis dendrocolaptoides
litshr5,Colluricincla fortis
sanwhe1,Zosterops nehrkorni
laaphe1,Chrysolophus amherstiae
prisun3,Cinnyris prigoginei
gofbow1,Amblyornis flavifrons
lessee1,Pyrenestes minor
pihduc1,Rhodonessa caryophyllacea
moonig1,Aegotheles albertisi
blagua1,Chamaepetes unicolor
splsun2,Cinnyris coccinigastrus
islfly1,Eumyias panayensis
puntap1,Scytalopus simonsi
grekno,Calidris tenuirostris
pirwar1,Basileuterus ignotus
blcpar3,Geoffroyus simplex
grewoo2,Phoeniculus purpureus
amtsun4,Heliangelus spencei
palflo1,Prionochilus plateni
belyel1,Geothlypis beldingi
mexwoo1,Eupherusa ridgwayi
hofwoo1,Melanerpes hoffmannii
ruckin1,Actenoides concretus
brbwar2,Locustella luteoventris
whbtot1,Hemitriccus griseipectus
schbla1,Amblyramphus holosericeus
laupig1,Columba junoniae
bbcbab1,Pellorneum capistratoides
thtray1,Aphrastura spinicauda
greher1,Phaethornis guy
setkne1,Burhinus senegalensis
spetea3,Anas andium
whbant7,Hylopezus ochroleucus
lickin2,Cittura cyanotis
phcdov1,Macropygia tenuirostris
stusun1,Cinnyris stuhlmanni
brnhor1,Anorrhinus austeni
radshe1,Radjah radjah
whtswi,Aeronautes saxatalis
sthspa1,Peucaea ruficauda
grswar1,Bradypterus graueri
nukupu1,Hemignathus affinis
gyhpar3,Paradoxornis gularis
empgoo,Anser canagicus
strsal1,Saltator striatipectus
desspa3,Passer simplex
calhum,Selasphorus calliope
mitpar,Psittacara mitratus
gycwar3,Eminia lepida
defpar1,Cyclopsitta diophthalma
colfal1,Microhierax caerulescens
gcrwar,Basileuterus culicivorus
blntan1,Stilpnia cyanicollis
semplo,Charadrius semipalmatus
bonpet,Pterodroma hypoleuca
waicis2,Cisticola distinctus
bltgro2,Saltator fuliginosus
tacpyt2,Euscarthmus fulviceps
lesfri,Fregata ariel
afrpip1,Anthus cinnamomeus
goufro1,Batrachostomus stellatus
spnthr1,Catharus dryas
indfly1,Eumyias indigo
crohor1,Lophoceros alboterminatus
yebtit3,Sylviparus modestus
stctre1,Thripadectes virgaticeps
andhil3,Oreotrochilus estella
ausgro1,Tyto longimembris
jasowl2,Otus angelinae
commur,Uria aalge
runwre4,Campylorhynchus capistratus
flabow2,Sericulus ardens
recwid3,Euplectes ardens
pomjae,Stercorarius pomarinus
clagre,Aechmophorus clarkii
bacbab1,Turdoides gymnogenys
oliman2,Xenopipo uniformis
comcuc,Cuculus canorus
whttap1,Scelorchilus albicollis
chiegr,Egretta eulophotes
paplor3,Charmosyna stellae
y00989,Phylloscopus affinis
blfowl1,Ketupa blakistoni
blhbuz1,Henicopernis infuscatus
serthr1,Monticola explorator
ancbar1,Stactolaema anchietae
oltpar1,Eupsittula nana
nicjuf1,Cyornis nicobaricus
asidrc2,Surniculus dicruroides
flapyt1,Hemitriccus flammulatus
lottit5,Aegithalos glaucogularis
mabpig2,Alectroenas nitidissimus
rvgcuc1,Neomorphus geoffroyi
lobmel1,Melionyx princeps
strbul1,Ixos malaccensis
joslor1,Charmosyna josefinae
yeffly1,Muscicapa sethsmithi
pabflo1,Dicaeum erythrorhynchos
socbun1,Emberiza socotrana
stcspa3,Rhynchospiza strigiceps
yeejun2,Junco bairdi
scbbar2,Capito wallacei
timwre1,Thryorchilus browni
sthmun2,Mayrimunia tristissima
afrsto1,Saxicola torquatus
afrcuh1,Aviceda cuculoides
cinhar1,Circus cinereus
chiger2,Gerygone albofrontata
sugcuc1,Carpococcyx viridis
yebtur1,Tauraco macrorhynchus
botwea1,Brachycope anomala
whwwoo1,Dendrocopos leucopterus
heishe1,Puffinus heinrothi
whvmyn1,Acridotheres grandis
rottan2,Rhodinocichla rosea
ecutyr1,Phylloscartes gualaquizae
lablar1,Galerida magnirostris
afpkin1,Ispidina picta
labcro1,Corvus macrorhynchos
vesspa,Pooecetes gramineus
celmon1,Hypothymis coelestis
whepuf1,Nystalus chacuru
blswoo1,Xiphorhynchus lachrymosus
lowaka1,Sheppardia cyornithopsis
azutit2,Cyanistes cyanus
rocsan,Calidris ptilocnemis
nukupu2,Hemignathus hanapepe
bltcou1,Centropus leucogaster
baytan3,Rauenia bonariensis
growoo1,Geocolaptes olivaceus
wcfdov1,Ptilinopus dupetithouarsii
obblar1,Spizocorys obbiensis
cocfin1,Pinaroloxias inornata
cinbul1,Hemixos cinereus
forrob6,Stiphrornis pyrrholaemus
ridhaw1,Buteo ridgwayi
myssta1,Aplonis mavornata
brbwoo1,Dendropicos obsoletus
cbmtan1,Dubusia castaneoventris
bcfgle1,Philydor atricapillus
somcro2,Corvus edithae
melthr,Garrulax canorus
pecsan,Calidris melanotos
tribun1,Emberiza tristrami
blhtro1,Trogon melanocephalus
butpig2,Pipile grayi
mauwhe1,Zosterops chloronothos
lemowl1,Tyto sororcula
yebant1,Grallaria flavotincta
biswoo1,Artamus insignis
pasbab1,Zosterornis hypogrammicus
batsun2,Cinnyris batesi
maysun2,Cinnyris coquerellii
whhbul1,Hypsipetes thompsoni
truswa,Cygnus buccinator
partan1,Tangara chilensis
gofful2,Schoeniparus variegaticeps
mouplo,Anarhynchus montanus
spoant5,Hylopezus paraensis
comcic11,Edolisoma amboinense
bbttyr1,Hemitriccus josephinae
caster1,Hydroprogne caspia
gortan1,Bangsia aureocincta
frbwoo1,Dendrocopos analis
bacwar,Vermivora bachmanii
yelfly2,Erythrocercus holochlorus
wesblu,Sialia mexicana
mautud1,Nesoenas cicur
bwwbab1,Spelaeornis troglodytoides
whwdov,Zenaida asiatica
sopsku1,Stercorarius maccormicki
blkski,Rynchops niger
salwea1,Ploceus dichrocephalus
whbmin3,Pericrocotus erythropygius
euroys1,Haematopus ostralegus
astcra1,Mustelirallus albicollis
twwbop1,Seleucidis melanoleucus
maubul1,Hypsipetes olivaceus
sulscr1,Megapodius bernsteinii
sctdac1,Dacnis venusta
rutbuh1,Amaurornis moluccana
ytbtan1,Chlorospingus flavigularis
ivogul,Pagophila eburnea
stwnig1,Caprimulgus longipennis
noremt1,Aulacorhynchus prasinus
whtdov,Leptotila verreauxi
varkin1,Ceyx lepidus
batapa4,Apalis fuscigularis
fespar1,Amazona festiva
angswa1,Hirundo angolensis
pospet1,Nesofregetta fuliginosa
wibsee1,Sporophila americana
giahum1,Patagona gigas
hispar1,Amazona ventralis
reisee3,Crithagra striatipectus
bkcwea1,Ploceus nigrimentus
rawcra1,Rufirallus leucopyrrhus
orntin1,Nothoprocta ornata
werher,Egretta gularis
bfpgua1,Pipile jacutinga
pavthr1,Turdus obsoletus
slcgro1,Saltator grossus
yebant3,Hypocnemis hypoxantha
whtcra1,Laterallus albigularis
elepit7,Pitta elegans
yeltho1,Acanthiza nana
magrob,Copsychus saularis
whebar1,Stactolaema leucotis
gybtes1,Tesia cyaniventer
buffle,Bucephala albeola
afywhe3,Zosterops stuhlmanni
retthr1,Turdus ruficollis
rewpri1,Prinia erythroptera
suphem1,Thlypopsis superciliaris
stvhum2,Saucerottia saucerottei
orrfra2,Scleroptila gutturalis
guarai1,Gallirallus owstoni
noikak1,Nestor productus
ashant1,Myrmotherula grisea
brbscy1,Campylorhamphus pusillus
scawoo1,Lepidocolaptes squamatus
grnfig1,Sphecotheres viridis
ibgshr1,Lanius meridionalis
gretho2,Phacellodomus ruber
manhon1,Gavicalis fasciogularis
slbcro3,Corvus violaceus
olbsun2,Cinnyris frenatus
purjac1,Galbula chalcothorax
orbfal1,Falco deiroleucus
gobful1,Lioparus chrysotis
yefpar3,Cyanoramphus auriceps
beawoo2,Melanerpes pulcher
paqthr1,Cinclosoma ajax
magpar1,Lophopsittacus bensoni
phipif1,Rhipidura nigritorquis
livfly1,Erythrocercus livingstonei
bubtyr1,Mecocerculus hellmayri
watgua1,Aburria aburri
wbgtyr1,Muscisaxicola albilora
swipar1,Lathamus discolor
indrob1,Copsychus fulicatus
vilthi3,Asthenes ayacuchensis
visblf1,Rhipidura samarensis
nebfri1,Philemon cockerelli
rebwoo1,Hylexetastes perrotii
chtsta2,Sturnia malabarica
mohpar1,Loriculus amabilis
renavo1,Recurvirostra novaehollandiae
irilor1,Trichoglossus iris
fibpic1,Picumnus subtilis
ausneg1,Lessonia rufa
panfly1,Myiarchus panamensis
nobsni1,Gallinago nobilis
rbbtyr1,Myiotheretes fuscorufus
darbat1,Batis crypta
whcsap1,Chlorestes cyanus
varfai1,Malurus assimilis
shtbab1,Pellorneum malaccense
bursan1,Pterocles burchelli
leahon1,Ptiloprora plumbea
biamon1,Symposiachrus brehmii
punant1,Grallaria sinaensis
blbboa1,Machaerirhynchus nigripectus
blhwoo1,Picus erythropygius
boycus1,Coracina boyeri
rebque1,Quelea quelea
necpar1,Cyanoramphus saisseti
sotfan1,Rhipidura threnothorax
olcfly1,Myiophobus cryptoxanthus
grgowl,Strix nebulosa
borstu1,Urosphena whiteheadi
chaoys1,Haematopus chathamensis
hobkit2,Chondrohierax wilsonii
xavgre1,Phyllastrephus xavieri
elipig1,Ducula concinna
sunbul3,Ixos virescens
yellow6,Ceuthmochares australis
rufcac2,Pseudoseisura unirufa
dwafrd1,Ptilinopus nainus
strcar1,Daptrius australis
walcus1,Coracina personata
wbnher1,Calherodius leuconotus
varcha3,Ortalis ruficeps
varant2,Grallaria varia
rubhon1,Ptiloprora guisei
scrgre1,Hylophilus flavipes
olibul1,Iole viridescens
westan,Piranga ludoviciana
gybstp1,Garrodia nereis
wrlrus1,Phleocryptes melanops
pinsis,Spinus pinus
wehpit1,Pitta sordida
mafpar3,Pyrrhura leucotis
vardwk8,Ceyx mulcatus
paibut1,Turnix novaecaledoniae
mouger1,Acanthiza cinerea
papswi1,Aerodramus papuensis
chbnut4,Sitta neglecta
litshe1,Puffinus baroli
sdmman1,Neopelma chrysolophum
afrcit1,Crithagra citrinelloides
putcot1,Porphyrolaema porphyrolaema
asrfin1,Leucosticte arctoa
mastan1,Stilpnia nigrocincta
rehtro1,Harpactes erythrocephalus
yebger1,Gerygone chrysogaster
grhtan2,Tangara seledon
ruchum1,Goldmania bella
higmot1,Momotus aequatorialis
yebboa1,Machaerirhynchus flaviventer
retcom1,Sappho sparganurus
sunwar1,Phylloscopus grammiceps
blehem1,Sphenopsis melanotis
rabeat1,Merops ornatus
weebil1,Smicrornis brevirostris
brotea1,Anas chlorotis
amedov1,Phapitreron amethystinus
bichaw1,Astur bicolor
bwwwre1,Henicorhina leucoptera
refblu1,Tarsiger cyanurus
aurwar1,Acrocephalus australis
bltlea1,Sclerurus caudacutus
bkfruw1,Bathmocercus rufus
brrbun1,Emberiza affinis
rufroc1,Chaetops frenatus
bkhbat1,Batis erlangeri
smanil1,Niltava macgrigoriae
pubtho1,Ramphomicron microrhynchum
sclwhi1,Pachycephala soror
auirai1,Lewinia muelleri
ruftho3,Phacellodomus inornatus
blctyr1,Tyranniscus nigrocapillus
layrai,Zapornia palmeri
comcha,Fringilla coelebs
slbcro5,Corvus sierramadrensis
whbcro2,Sylvietta leucophrys
golbow1,Prionodura newtoniana
altori,Icterus gularis
larfro1,Batrachostomus auritus
bagtan2,Bangsia melanochlamys
pebswa1,Hirundo dimidiata
subwhi1,Pachycephala sulfuriventer
whesol1,Entomodestes leucotis
sincro1,Corvus sinaloae
inghor2,Ocyceros birostris
hifdov1,Ptilinopus insularis
pattyr2,Colorhamphus parvirostris
sanlar1,Alaudala raytal
ruchor1,Anorrhinus tickelli
luzrat1,Prioniturus montanus
rofpar3,Pyrrhura roseifrons
jawpig1,Columba janthina
tufant1,Mackenziaena severa
sougrc1,Crithagra buchanani
chamoc1,Mimus trifasciatus
brgeup1,Euphonia mesochrysa
libcor1,Phalacrocorax sulcirostris
mineao1,Otus gurneyi
amaumb1,Cephalopterus ornatus
piecou1,Centropus ateralbus
sablar2,Calendulauda sabota
auspel1,Pelecanus conspicillatus
blacks1,Oenanthe melanura
whwduc1,Asarcornis scutulata
bubfly2,Cyornis camarinensis
rubbun1,Emberiza jankowskii
stbfan1,Rhipidura dedemi
ceymag1,Urocissa ornata
